event_id,event_type,ground_truth_label,Iv_identity_score,Bc_behavioral_score,Nt_network_telemetry_score,Pc_process_integrity_score,Tr_trace_correlation_score,weighted_sum_before_Ra,Ra_anomaly_penalty,final_trust_score_Ts,predicted_label
25,BENIGN,0,1.0,0.820953,0.854736,1.0,1.0,0.935138,0.0,0.935138,0
26,OBVIOUS_ATTACK,1,0.0,0.237142,0.347162,0.0,0.0,0.116861,0.7,0.0,1
27,BENIGN,0,1.0,0.803969,0.880997,1.0,1.0,0.936993,0.0,0.936993,0
28,STEALTH_ATTACK,1,1.0,0.554911,0.662454,1.0,1.0,0.843473,0.0,0.843473,0
29,BENIGN,0,1.0,0.991255,0.879802,1.0,1.0,0.974211,0.2,0.774211,0
30,BENIGN,0,1.0,0.937233,0.869204,1.0,1.0,0.961287,0.0,0.961287,0
31,BENIGN,0,1.0,0.920711,0.850052,1.0,1.0,0.954153,0.0,0.954153,0
32,STEALTH_ATTACK,1,0.5,0.478115,0.728214,1.0,1.0,0.691266,0.15,0.541266,1
33,STEALTH_ATTACK,1,0.5,0.433599,0.781784,0.0,0.0,0.393077,0.4,0.0,1
34,BENIGN,0,1.0,0.861862,0.940664,1.0,1.0,0.960505,0.0,0.960505,0
35,BENIGN,0,1.0,0.902699,0.899745,1.0,1.0,0.960489,0.0,0.960489,0
36,BENIGN,0,1.0,0.830952,0.866989,1.0,1.0,0.939588,0.0,0.939588,0
37,OBVIOUS_ATTACK,1,0.5,0.166907,0.23446,0.0,0.0,0.230273,0.7,0.0,1
38,STEALTH_ATTACK,1,0.0,0.634956,0.709824,0.0,1.0,0.418956,0.35,0.068956,1
39,BENIGN,0,1.0,0.711084,0.998217,1.0,1.0,0.94186,0.0,0.94186,0
40,BENIGN,0,0.0,0.832814,0.902131,1.0,1.0,0.646989,0.2,0.446989,1
41,OBVIOUS_ATTACK,1,0.0,0.096739,0.437646,0.0,0.0,0.106877,0.7,0.0,1
42,BENIGN,0,1.0,1.0,0.95426,1.0,1.0,0.990852,0.0,0.990852,0
43,BENIGN,0,1.0,0.748777,0.886521,1.0,1.0,0.92706,0.0,0.92706,0
44,BENIGN,0,1.0,0.832839,0.918742,1.0,1.0,0.950316,0.0,0.950316,0
45,OBVIOUS_ATTACK,1,0.0,0.233128,0.231346,1.0,0.0,0.242895,0.55,0.0,1
46,BENIGN,0,1.0,0.95573,0.872308,1.0,1.0,0.965608,0.0,0.965608,0
47,STEALTH_ATTACK,1,1.0,0.5914,0.655311,0.0,0.0,0.549342,0.25,0.299342,1
48,BENIGN,0,1.0,0.897528,0.887479,1.0,1.0,0.957002,0.0,0.957002,0
49,BENIGN,0,1.0,0.794249,0.824318,1.0,1.0,0.923714,0.0,0.923714,0
50,STEALTH_ATTACK,1,0.0,0.416763,0.681376,0.0,1.0,0.369628,0.15,0.219628,1
51,STEALTH_ATTACK,1,0.5,0.531312,0.689621,1.0,1.0,0.694187,0.35,0.344187,1
52,BENIGN,0,1.0,0.955119,0.855796,1.0,1.0,0.962183,0.0,0.962183,0
53,BENIGN,0,1.0,0.854263,0.916133,1.0,1.0,0.954079,0.0,0.954079,0
54,BENIGN,0,1.0,0.87842,0.879897,1.0,1.0,0.951664,0.0,0.951664,0
55,BENIGN,0,1.0,0.866603,0.910312,1.0,1.0,0.955383,0.0,0.955383,0
56,BENIGN,0,1.0,0.790884,0.890467,1.0,1.0,0.93627,0.0,0.93627,0
57,BENIGN,0,1.0,0.949598,0.887022,1.0,1.0,0.967324,0.0,0.967324,0
58,BENIGN,0,1.0,0.881829,0.885509,0.0,1.0,0.803468,0.15,0.653468,0
59,BENIGN,0,1.0,0.912094,0.90488,1.0,1.0,0.963395,0.0,0.963395,0
60,BENIGN,0,1.0,0.893613,0.910452,1.0,1.0,0.960813,0.0,0.960813,0
61,OBVIOUS_ATTACK,1,0.0,0.136279,0.276883,0.0,0.0,0.082632,0.5,0.0,1
62,OBVIOUS_ATTACK,1,0.0,0.187789,0.37795,1.0,0.0,0.263148,0.55,0.0,1
63,OBVIOUS_ATTACK,1,0.0,0.223328,0.280155,1.0,0.0,0.250697,0.55,0.0,1
64,BENIGN,0,1.0,0.897089,0.869911,1.0,1.0,0.9534,0.0,0.9534,0
65,BENIGN,0,1.0,0.79801,0.904163,0.0,1.0,0.790435,0.15,0.640435,1
66,BENIGN,0,1.0,0.776635,0.874481,1.0,1.0,0.930223,0.0,0.930223,0
67,BENIGN,0,1.0,0.758168,0.929073,1.0,1.0,0.937448,0.0,0.937448,0
68,BENIGN,0,1.0,0.866187,0.919547,1.0,1.0,0.957147,0.0,0.957147,0
69,STEALTH_ATTACK,1,1.0,0.295676,0.711668,1.0,0.0,0.651469,0.1,0.551469,1
70,BENIGN,0,1.0,0.877499,0.869746,1.0,1.0,0.949449,0.0,0.949449,0
71,BENIGN,0,1.0,0.70549,0.968208,1.0,1.0,0.93474,0.0,0.93474,0
72,BENIGN,0,1.0,0.899001,0.922731,0.0,1.0,0.814346,0.15,0.664346,0
73,BENIGN,0,1.0,0.73847,0.880644,1.0,1.0,0.923823,0.0,0.923823,0
74,BENIGN,0,1.0,0.7559,0.932371,1.0,1.0,0.937654,0.0,0.937654,0
75,BENIGN,0,1.0,0.730555,0.93809,1.0,1.0,0.933729,0.0,0.933729,0
76,BENIGN,0,1.0,0.791647,0.927534,1.0,1.0,0.943836,0.0,0.943836,0
77,BENIGN,0,1.0,0.771263,0.959695,1.0,1.0,0.946192,0.0,0.946192,0
78,BENIGN,0,1.0,0.855518,0.941909,1.0,1.0,0.959485,0.0,0.959485,0
79,BENIGN,0,1.0,0.882444,0.912443,1.0,1.0,0.958977,0.0,0.958977,0
80,BENIGN,0,1.0,0.855516,0.88727,1.0,1.0,0.948557,0.0,0.948557,0
81,BENIGN,0,1.0,0.827213,0.891765,1.0,1.0,0.943796,0.0,0.943796,0
82,OBVIOUS_ATTACK,1,0.0,0.200473,0.493781,0.0,0.0,0.138851,0.7,0.0,1
83,BENIGN,0,1.0,0.932442,0.849122,1.0,1.0,0.956313,0.0,0.956313,0
84,BENIGN,0,1.0,0.896224,0.890888,1.0,1.0,0.957422,0.0,0.957422,0
85,BENIGN,0,1.0,0.780386,0.98046,1.0,1.0,0.952169,0.0,0.952169,0
86,BENIGN,0,1.0,0.868001,0.921408,1.0,1.0,0.957882,0.0,0.957882,0
87,BENIGN,0,0.0,0.845448,0.968948,1.0,1.0,0.662879,0.0,0.662879,0
88,STEALTH_ATTACK,1,1.0,0.61317,0.723999,0.0,1.0,0.717434,0.15,0.567434,1
89,OBVIOUS_ATTACK,1,0.5,0.09642,0.279675,1.0,0.0,0.375219,0.55,0.0,1
90,OBVIOUS_ATTACK,1,0.0,0.084019,0.356125,0.0,0.0,0.088029,0.7,0.0,1
91,BENIGN,0,0.0,0.872586,0.954333,1.0,1.0,0.665384,0.0,0.665384,0
92,BENIGN,0,1.0,0.714938,0.941621,1.0,1.0,0.931312,0.0,0.931312,0
93,BENIGN,0,1.0,0.853591,0.939381,1.0,1.0,0.958594,0.0,0.958594,0
94,BENIGN,0,1.0,0.990634,0.951092,1.0,1.0,0.988345,0.0,0.988345,0
95,STEALTH_ATTACK,1,1.0,0.535981,0.705164,0.0,1.0,0.698229,0.35,0.348229,1
96,BENIGN,0,1.0,0.825241,0.913983,1.0,1.0,0.947845,0.0,0.947845,0
97,BENIGN,0,1.0,0.832642,0.869425,1.0,1.0,0.940413,0.0,0.940413,0
98,BENIGN,0,1.0,0.758499,0.876219,1.0,1.0,0.926944,0.0,0.926944,0
99,BENIGN,0,1.0,0.802114,0.997167,1.0,1.0,0.959856,0.0,0.959856,0
100,BENIGN,0,1.0,0.792372,0.858513,1.0,1.0,0.930177,0.0,0.930177,0
101,BENIGN,0,1.0,0.825574,0.870835,1.0,1.0,0.939282,0.0,0.939282,0
102,BENIGN,0,1.0,0.853371,0.897975,1.0,1.0,0.950269,0.0,0.950269,0
103,OBVIOUS_ATTACK,1,0.0,0.224044,0.411094,0.0,0.0,0.127027,0.5,0.0,1
104,BENIGN,0,1.0,0.892233,0.940813,1.0,1.0,0.966609,0.0,0.966609,0
105,BENIGN,0,1.0,0.815221,0.916084,1.0,1.0,0.946261,0.0,0.946261,0
106,BENIGN,0,1.0,0.908602,0.953288,1.0,1.0,0.972378,0.0,0.972378,0
107,BENIGN,0,0.0,0.927358,0.878436,1.0,1.0,0.661159,0.0,0.661159,0
108,STEALTH_ATTACK,1,1.0,0.516565,0.694245,1.0,0.0,0.692162,0.1,0.592162,1
109,BENIGN,0,1.0,0.845669,0.894747,1.0,1.0,0.948083,0.0,0.948083,0
110,BENIGN,0,1.0,0.799231,0.898587,1.0,1.0,0.939564,0.0,0.939564,0
111,BENIGN,0,1.0,0.818201,0.853969,1.0,1.0,0.934434,0.0,0.934434,0
112,OBVIOUS_ATTACK,1,0.0,0.153336,0.242692,0.0,0.0,0.079206,0.7,0.0,1
113,BENIGN,0,1.0,0.814781,0.922619,1.0,1.0,0.94748,0.0,0.94748,0
114,BENIGN,0,1.0,0.910248,0.944297,1.0,1.0,0.970909,0.0,0.970909,0
115,BENIGN,0,1.0,0.818929,0.963816,1.0,0.0,0.806549,0.1,0.706549,0
116,BENIGN,0,1.0,0.641658,0.901478,1.0,1.0,0.908627,0.0,0.908627,0
117,BENIGN,0,1.0,0.837468,0.93086,1.0,1.0,0.953666,0.0,0.953666,0
118,BENIGN,0,1.0,0.898264,0.879181,1.0,1.0,0.955489,0.0,0.955489,0
119,BENIGN,0,1.0,0.721614,0.905316,1.0,0.0,0.775386,0.1,0.675386,0
120,BENIGN,0,1.0,0.878473,0.859878,1.0,1.0,0.94767,0.0,0.94767,0
121,BENIGN,0,1.0,0.895161,0.875193,1.0,1.0,0.954071,0.0,0.954071,0
122,STEALTH_ATTACK,1,1.0,0.52929,0.784842,1.0,0.0,0.712827,0.1,0.612827,1
123,BENIGN,0,1.0,0.84639,0.921868,1.0,1.0,0.953652,0.0,0.953652,0
124,BENIGN,0,1.0,0.822389,0.816335,1.0,1.0,0.927745,0.0,0.927745,0
125,STEALTH_ATTACK,1,1.0,0.51681,0.76315,1.0,1.0,0.855992,0.0,0.855992,0
126,BENIGN,0,1.0,0.85144,0.886272,1.0,1.0,0.947542,0.0,0.947542,0
127,STEALTH_ATTACK,1,1.0,0.429527,0.719853,0.0,0.0,0.529876,0.25,0.279876,1
128,BENIGN,0,1.0,0.928936,0.841148,1.0,1.0,0.954017,0.0,0.954017,0
129,BENIGN,0,1.0,0.75532,0.88161,1.0,1.0,0.927386,0.0,0.927386,0
130,OBVIOUS_ATTACK,1,0.0,0.160131,0.337453,0.0,0.0,0.099517,0.7,0.0,1
131,BENIGN,0,1.0,0.872871,0.982331,1.0,1.0,0.971041,0.0,0.971041,0
132,BENIGN,0,1.0,0.815337,0.815268,1.0,1.0,0.926121,0.0,0.926121,0
133,BENIGN,0,1.0,0.697416,0.933082,1.0,1.0,0.9261,0.0,0.9261,0
134,OBVIOUS_ATTACK,1,0.0,0.189288,0.241425,0.0,0.0,0.086142,0.7,0.0,1
135,OBVIOUS_ATTACK,1,0.0,0.197262,0.366966,0.0,0.0,0.112845,0.7,0.0,1
136,OBVIOUS_ATTACK,1,0.5,0.161108,0.402703,0.0,0.0,0.262762,0.7,0.0,1
137,BENIGN,0,1.0,0.846942,0.861497,1.0,1.0,0.941688,0.0,0.941688,0
138,BENIGN,0,1.0,0.815253,0.925472,1.0,1.0,0.948145,0.0,0.948145,0
139,BENIGN,0,1.0,0.838416,0.878259,1.0,1.0,0.943335,0.0,0.943335,0
140,BENIGN,0,1.0,0.778972,0.999955,1.0,1.0,0.955785,0.0,0.955785,0
141,OBVIOUS_ATTACK,1,0.0,0.130973,0.31121,0.0,0.0,0.088437,0.7,0.0,1
142,STEALTH_ATTACK,1,0.5,0.550811,0.735327,1.0,0.0,0.557228,0.45,0.107228,1
143,OBVIOUS_ATTACK,1,0.0,0.061369,0.379296,0.0,0.0,0.088133,0.7,0.0,1
144,OBVIOUS_ATTACK,1,0.0,0.218206,0.351771,0.0,0.0,0.113995,0.7,0.0,1
145,BENIGN,0,1.0,0.90898,0.964633,1.0,1.0,0.974722,0.0,0.974722,0
146,BENIGN,0,1.0,0.924902,0.917343,1.0,1.0,0.968449,0.0,0.968449,0
147,BENIGN,0,1.0,0.878151,0.8915,1.0,1.0,0.95393,0.0,0.95393,0
148,BENIGN,0,1.0,0.853065,0.922098,1.0,1.0,0.955033,0.0,0.955033,0
149,BENIGN,0,1.0,0.814181,0.812619,1.0,1.0,0.92536,0.0,0.92536,0
150,BENIGN,0,1.0,0.852602,0.913137,1.0,1.0,0.953148,0.0,0.953148,0
151,OBVIOUS_ATTACK,1,0.0,0.12134,0.296382,0.0,0.0,0.083545,0.5,0.0,1
152,STEALTH_ATTACK,1,0.0,0.636952,0.751466,0.0,1.0,0.427684,0.5,0.0,1
153,STEALTH_ATTACK,1,1.0,0.417506,0.776764,1.0,0.0,0.688854,0.1,0.588854,1
154,BENIGN,0,0.5,0.924086,0.939162,1.0,1.0,0.82265,0.15,0.67265,0
155,BENIGN,0,1.0,0.767257,0.949085,1.0,1.0,0.943268,0.0,0.943268,0
156,BENIGN,0,1.0,0.839331,0.896683,1.0,1.0,0.947203,0.0,0.947203,0
157,BENIGN,0,1.0,0.905622,0.926615,1.0,1.0,0.966447,0.0,0.966447,0
158,BENIGN,0,1.0,0.776874,0.911376,1.0,1.0,0.93765,0.0,0.93765,0
159,BENIGN,0,1.0,0.8673,0.955305,1.0,1.0,0.964521,0.0,0.964521,0
160,BENIGN,0,1.0,0.728947,0.91754,1.0,1.0,0.929297,0.0,0.929297,0
161,BENIGN,0,1.0,0.823237,0.929024,1.0,1.0,0.950452,0.0,0.950452,0
162,BENIGN,0,1.0,0.738679,0.834233,1.0,1.0,0.914582,0.0,0.914582,0
163,BENIGN,0,1.0,0.953317,0.903277,1.0,1.0,0.971319,0.0,0.971319,0
164,BENIGN,0,1.0,0.854254,0.936428,1.0,1.0,0.958137,0.0,0.958137,0
165,BENIGN,0,1.0,0.911505,0.912057,1.0,1.0,0.964712,0.0,0.964712,0
166,BENIGN,0,1.0,0.949975,0.891905,1.0,1.0,0.968376,0.0,0.968376,0
167,BENIGN,0,1.0,0.830515,0.952233,1.0,1.0,0.95655,0.0,0.95655,0
168,BENIGN,0,1.0,0.71283,0.872979,1.0,1.0,0.917162,0.0,0.917162,0
169,BENIGN,0,1.0,0.87947,0.866325,1.0,1.0,0.949159,0.0,0.949159,0
170,BENIGN,0,1.0,0.839656,0.930701,1.0,1.0,0.954071,0.0,0.954071,0
171,BENIGN,0,1.0,0.823677,0.872663,1.0,1.0,0.939268,0.0,0.939268,0
172,BENIGN,0,1.0,0.793257,0.890108,1.0,1.0,0.936673,0.0,0.936673,0
173,BENIGN,0,1.0,0.865605,0.854746,1.0,0.0,0.79407,0.1,0.69407,0
174,BENIGN,0,1.0,0.873452,0.974268,1.0,1.0,0.969544,0.0,0.969544,0
175,BENIGN,0,1.0,0.766817,0.923028,1.0,1.0,0.937969,0.0,0.937969,0
176,OBVIOUS_ATTACK,1,0.0,0.091217,0.336546,1.0,0.0,0.235553,0.55,0.0,1
177,BENIGN,0,1.0,0.889132,0.823649,1.0,1.0,0.942556,0.2,0.742556,0
178,BENIGN,0,1.0,0.908791,0.918781,1.0,1.0,0.965514,0.2,0.765514,0
179,BENIGN,0,1.0,0.921138,0.914778,0.0,1.0,0.817183,0.15,0.667183,0
180,STEALTH_ATTACK,1,1.0,0.480755,0.668818,1.0,1.0,0.829915,0.0,0.829915,0
181,BENIGN,0,1.0,0.865308,0.950792,1.0,1.0,0.96322,0.0,0.96322,0
182,BENIGN,0,1.0,0.752787,0.96046,1.0,1.0,0.942649,0.0,0.942649,0
183,BENIGN,0,0.0,0.715928,0.917176,0.0,1.0,0.476621,0.15,0.326621,1
184,BENIGN,0,1.0,0.906719,0.946872,1.0,0.0,0.820718,0.1,0.720718,0
185,BENIGN,0,1.0,0.893398,0.93145,1.0,1.0,0.964969,0.0,0.964969,0
186,BENIGN,0,1.0,0.736793,1.0,1.0,1.0,0.947359,0.2,0.747359,0
187,BENIGN,0,1.0,0.914169,0.893649,1.0,1.0,0.961564,0.0,0.961564,0
188,BENIGN,0,1.0,0.82388,0.922478,1.0,1.0,0.949271,0.0,0.949271,0
189,BENIGN,0,1.0,0.843592,0.914282,0.0,1.0,0.801575,0.15,0.651575,0
190,BENIGN,0,1.0,0.828458,0.945933,1.0,1.0,0.954878,0.0,0.954878,0
191,BENIGN,0,1.0,0.744924,0.858587,1.0,1.0,0.920702,0.0,0.920702,0
192,OBVIOUS_ATTACK,1,0.0,0.095223,0.354838,0.0,0.0,0.090012,0.55,0.0,1
193,STEALTH_ATTACK,1,1.0,0.529933,0.742692,0.0,0.0,0.554525,0.25,0.304525,1
194,BENIGN,0,1.0,0.819045,0.910755,1.0,1.0,0.94596,0.0,0.94596,0
195,BENIGN,0,1.0,0.908527,0.887497,1.0,1.0,0.959205,0.0,0.959205,0
196,BENIGN,0,1.0,0.790017,0.961629,1.0,1.0,0.950329,0.0,0.950329,0
197,BENIGN,0,1.0,0.779953,0.859441,1.0,1.0,0.927879,0.0,0.927879,0
198,OBVIOUS_ATTACK,1,0.5,0.235691,0.357232,0.0,0.0,0.268585,0.7,0.0,1
199,OBVIOUS_ATTACK,1,0.5,0.255707,0.359247,0.0,0.0,0.272991,0.7,0.0,1
200,OBVIOUS_ATTACK,1,0.0,0.139275,0.256682,0.0,0.0,0.079191,0.5,0.0,1
201,BENIGN,0,1.0,0.712279,0.941941,1.0,1.0,0.930844,0.0,0.930844,0
202,BENIGN,0,1.0,0.742448,0.85241,1.0,1.0,0.918972,0.0,0.918972,0
203,OBVIOUS_ATTACK,1,0.0,0.0,0.314503,0.0,0.0,0.062901,0.7,0.0,1
204,BENIGN,0,1.0,0.868763,0.915346,1.0,1.0,0.956822,0.0,0.956822,0
205,BENIGN,0,1.0,0.767133,0.90418,1.0,1.0,0.934263,0.0,0.934263,0
206,BENIGN,0,1.0,0.774261,0.889341,1.0,1.0,0.93272,0.0,0.93272,0
207,BENIGN,0,1.0,0.736163,0.901396,1.0,1.0,0.927512,0.2,0.727512,0
208,OBVIOUS_ATTACK,1,0.0,0.242024,0.345136,0.0,0.0,0.117432,0.7,0.0,1
209,BENIGN,0,1.0,0.843508,0.893113,1.0,1.0,0.947324,0.0,0.947324,0
210,BENIGN,0,1.0,0.874594,0.866964,1.0,1.0,0.948312,0.0,0.948312,0
211,BENIGN,0,1.0,0.851989,0.942199,1.0,1.0,0.958838,0.0,0.958838,0
212,BENIGN,0,1.0,0.952807,0.919921,1.0,1.0,0.974546,0.0,0.974546,0
213,BENIGN,0,1.0,0.854195,0.964837,1.0,1.0,0.963806,0.0,0.963806,0
214,OBVIOUS_ATTACK,1,0.0,0.167991,0.252245,1.0,0.0,0.234047,0.4,0.0,1
215,BENIGN,0,1.0,0.887642,0.863094,1.0,1.0,0.950147,0.0,0.950147,0
216,STEALTH_ATTACK,1,1.0,0.372921,0.773276,0.0,1.0,0.679239,0.15,0.529239,1
217,BENIGN,0,1.0,0.8888,0.928567,1.0,1.0,0.963473,0.0,0.963473,0
218,BENIGN,0,1.0,0.914644,0.941362,1.0,1.0,0.971201,0.0,0.971201,0
219,BENIGN,0,1.0,0.854221,0.856748,1.0,1.0,0.942194,0.0,0.942194,0
220,BENIGN,0,1.0,0.719237,0.917668,1.0,1.0,0.927381,0.0,0.927381,0
221,BENIGN,0,1.0,0.820711,0.958311,0.0,1.0,0.805805,0.15,0.655805,0
222,STEALTH_ATTACK,1,1.0,0.337615,0.701713,0.0,1.0,0.657866,0.35,0.307866,1
223,BENIGN,0,1.0,0.793722,0.926683,1.0,1.0,0.944081,0.0,0.944081,0
224,BENIGN,0,1.0,0.909998,0.854167,1.0,1.0,0.952833,0.0,0.952833,0
225,BENIGN,0,1.0,0.685892,1.0,1.0,1.0,0.937178,0.0,0.937178,0
226,BENIGN,0,1.0,0.81156,0.904735,1.0,1.0,0.943259,0.0,0.943259,0
227,BENIGN,0,1.0,0.957468,0.943743,1.0,1.0,0.980242,0.0,0.980242,0
228,BENIGN,0,1.0,0.878158,0.91805,1.0,1.0,0.959241,0.0,0.959241,0
229,BENIGN,0,1.0,0.718943,0.988772,1.0,1.0,0.941543,0.0,0.941543,0
230,BENIGN,0,1.0,0.797474,0.873489,1.0,1.0,0.934193,0.0,0.934193,0
231,BENIGN,0,1.0,0.9255,0.953079,1.0,1.0,0.975716,0.0,0.975716,0
232,BENIGN,0,0.5,0.857835,0.94219,1.0,0.0,0.660005,0.25,0.410005,1
233,STEALTH_ATTACK,1,0.0,0.48423,0.774533,1.0,0.0,0.401752,0.1,0.301752,1
234,BENIGN,0,1.0,0.861315,0.890804,1.0,1.0,0.950424,0.0,0.950424,0
235,BENIGN,0,1.0,0.832861,0.869969,1.0,1.0,0.940566,0.0,0.940566,0
236,BENIGN,0,1.0,0.845693,0.870274,1.0,1.0,0.943193,0.0,0.943193,0
237,BENIGN,0,1.0,0.775992,0.906649,1.0,1.0,0.936528,0.0,0.936528,0
238,BENIGN,0,1.0,0.838546,0.897405,1.0,1.0,0.94719,0.0,0.94719,0
239,STEALTH_ATTACK,1,0.0,0.462603,0.721974,0.0,1.0,0.386915,0.15,0.236915,1
240,BENIGN,0,1.0,0.685004,0.943114,1.0,1.0,0.925623,0.0,0.925623,0
241,BENIGN,0,1.0,0.811084,0.92632,1.0,1.0,0.947481,0.0,0.947481,0
242,OBVIOUS_ATTACK,1,0.0,0.25483,0.272354,0.0,0.0,0.105437,0.7,0.0,1
243,OBVIOUS_ATTACK,1,0.0,0.140497,0.280748,0.0,0.0,0.084249,0.5,0.0,1
244,BENIGN,0,1.0,0.834448,0.920318,1.0,1.0,0.950953,0.0,0.950953,0
245,BENIGN,0,1.0,0.780744,0.949299,1.0,1.0,0.946009,0.0,0.946009,0
246,BENIGN,0,1.0,0.887648,0.871401,1.0,1.0,0.95181,0.0,0.95181,0
247,BENIGN,0,1.0,0.782103,0.894175,1.0,1.0,0.935256,0.0,0.935256,0
248,BENIGN,0,1.0,0.873379,0.906583,1.0,1.0,0.955993,0.0,0.955993,0
249,STEALTH_ATTACK,1,1.0,0.493572,0.770763,1.0,0.0,0.702867,0.1,0.602867,1
250,STEALTH_ATTACK,1,0.5,0.467633,0.795508,1.0,0.0,0.552628,0.25,0.302628,1
251,OBVIOUS_ATTACK,1,0.0,0.178319,0.35237,0.0,0.0,0.106138,0.7,0.0,1
252,BENIGN,0,1.0,0.991117,0.923044,1.0,1.0,0.982832,0.0,0.982832,0
253,BENIGN,0,1.0,0.799562,0.986489,1.0,1.0,0.95721,0.0,0.95721,0
254,BENIGN,0,1.0,0.77282,0.944108,1.0,1.0,0.943386,0.0,0.943386,0
255,BENIGN,0,1.0,0.859162,0.922527,1.0,1.0,0.956338,0.0,0.956338,0
256,BENIGN,0,1.0,1.0,0.902755,1.0,0.0,0.830551,0.1,0.730551,0
257,BENIGN,0,1.0,0.960762,0.964484,1.0,1.0,0.985049,0.0,0.985049,0
258,BENIGN,0,1.0,0.872591,0.787906,1.0,1.0,0.932099,0.0,0.932099,0
259,BENIGN,0,1.0,0.784269,0.861486,1.0,1.0,0.929151,0.0,0.929151,0
260,BENIGN,0,1.0,0.912084,0.922842,1.0,1.0,0.966985,0.0,0.966985,0
261,BENIGN,0,1.0,0.727308,0.925538,1.0,1.0,0.930569,0.0,0.930569,0
262,BENIGN,0,1.0,0.896772,0.895062,1.0,1.0,0.958367,0.0,0.958367,0
263,OBVIOUS_ATTACK,1,0.0,0.134297,0.353389,0.0,0.0,0.097537,0.7,0.0,1
264,BENIGN,0,1.0,0.834976,0.878751,1.0,1.0,0.942745,0.0,0.942745,0
265,BENIGN,0,1.0,0.868401,0.884447,1.0,1.0,0.95057,0.0,0.95057,0
266,BENIGN,0,1.0,0.795827,0.892905,1.0,1.0,0.937746,0.0,0.937746,0
267,BENIGN,0,1.0,0.80263,0.877939,1.0,1.0,0.936114,0.0,0.936114,0
268,BENIGN,0,1.0,0.814141,0.948553,1.0,1.0,0.952539,0.0,0.952539,0
269,BENIGN,0,1.0,0.915575,0.914836,1.0,1.0,0.966082,0.0,0.966082,0
270,BENIGN,0,1.0,0.859068,0.95722,1.0,1.0,0.963258,0.0,0.963258,0
271,BENIGN,0,0.0,0.744319,0.845466,1.0,1.0,0.617957,0.0,0.617957,1
272,STEALTH_ATTACK,1,0.5,0.426954,0.649137,0.0,0.0,0.365218,0.4,0.0,1
273,BENIGN,0,1.0,0.792917,0.901089,1.0,1.0,0.938801,0.0,0.938801,0
274,BENIGN,0,1.0,0.805078,0.859519,1.0,1.0,0.932919,0.0,0.932919,0
275,BENIGN,0,1.0,0.767543,0.896039,1.0,1.0,0.932716,0.0,0.932716,0
276,BENIGN,0,1.0,0.798999,0.878808,1.0,1.0,0.935561,0.0,0.935561,0
277,BENIGN,0,1.0,0.677777,0.912979,1.0,1.0,0.918151,0.0,0.918151,0
