event_id,timestamp,pod,log_message,trust_score,identity_valid,runtime_anomaly,trace_path_consistent,invocation_frequency,namespace_violation,process_anomaly,connection_score,ground_truth_label,event_type,data_source,tetragon_events_in_window
20,2026-06-09T04:29:35.510881+00:00,payment-service,User profile lookup completed,0.466876,True,True,True,13.9,False,False,0.0597,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,139
21,2026-06-09T04:29:45.510881+00:00,user-profile-service,Profile lookup completed,0.778613,True,False,True,7.8,False,False,0.0,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,78
22,2026-06-09T04:29:45.510881+00:00,order-service,Payment service call completed,0.459594,True,True,True,12.7,False,False,0.0,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,127
23,2026-06-09T04:29:45.510881+00:00,payment-service,User profile lookup completed,0.432036,True,True,True,19.8,False,False,0.0,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,198
24,2026-06-09T04:29:55.510881+00:00,user-profile-service,Profile lookup completed,0.78776,True,False,True,5.1,False,False,0.0,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,51
25,2026-06-09T04:29:55.510881+00:00,payment-service,Payment request received,0.47557,True,True,True,12.5,False,False,0.076,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,125
26,2026-06-09T04:29:55.510881+00:00,order-service,Order request received,0.48227,True,True,True,9.8,False,False,0.0571,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,98
27,2026-06-09T04:30:05.510881+00:00,payment-service,User profile lookup completed,0.855942,True,False,True,7.2,False,False,0.375,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,72
28,2026-06-09T04:30:05.510881+00:00,order-service,Payment service call completed,0.486863,True,True,True,9.4,False,False,0.0723,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,94
29,2026-06-09T04:30:05.510881+00:00,user-profile-service,Profile lookup completed,0.7868,True,False,True,5.5,False,False,0.0,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,55
30,2026-06-09T04:30:15.510881+00:00,order-service,Payment service call completed,0.480513,True,True,True,10.5,False,False,0.0619,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,105
31,2026-06-09T04:30:15.510881+00:00,payment-service,User profile lookup completed,0.476836,True,True,True,11.2,False,False,0.0571,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,112
32,2026-06-09T04:30:15.510881+00:00,user-profile-service,Profile lookup completed,0.78944,True,False,True,4.4,False,False,0.0,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,44
33,2026-06-09T04:30:25.510881+00:00,user-profile-service,Profile lookup completed,0.78776,True,False,True,5.1,False,False,0.0,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,51
34,2026-06-09T04:30:25.510881+00:00,order-service,Payment service call completed,0.479507,True,True,True,9.1,False,False,0.0297,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,91
35,2026-06-09T04:30:25.510881+00:00,payment-service,User profile lookup completed,0.476301,True,True,True,10.9,False,False,0.0486,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,109
36,2026-06-09T04:30:35.510881+00:00,order-service,Payment service call completed,0.48868,True,True,True,8.7,False,False,0.0678,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,87
37,2026-06-09T04:30:35.510881+00:00,user-profile-service,Profile lookup completed,0.78872,True,False,True,4.7,False,False,0.0,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,47
38,2026-06-09T04:30:35.510881+00:00,payment-service,User profile lookup completed,0.847704,True,False,True,8.4,False,False,0.3571,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,84
39,2026-06-09T04:30:45.510881+00:00,payment-service,User profile lookup completed,0.475651,True,True,True,12.0,False,False,0.0667,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,120
40,2026-06-09T04:30:45.510881+00:00,user-profile-service,Profile lookup completed,0.79112,True,False,True,3.7,False,False,0.0,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,37
41,2026-06-09T04:30:45.510881+00:00,order-service,Order request received,0.845337,True,False,True,8.0,False,False,0.3375,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,80
42,2026-06-09T04:30:55.510881+00:00,user-profile-service,Profile lookup completed,0.7856,True,False,True,6.0,False,False,0.0,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,60
43,2026-06-09T04:30:55.510881+00:00,order-service,Payment service call completed,0.492248,True,True,True,8.6,False,False,0.0837,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,86
44,2026-06-09T04:30:55.510881+00:00,payment-service,User profile lookup completed,0.475828,True,True,True,11.3,False,False,0.054,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,113
45,2026-06-09T04:31:05.510881+00:00,order-service,Payment service call completed,0.486627,True,True,True,9.6,False,False,0.075,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,96
46,2026-06-09T04:31:05.510881+00:00,user-profile-service,Profile lookup completed,0.788,True,False,True,5.0,False,False,0.0,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,50
47,2026-06-09T04:31:05.510881+00:00,payment-service,User profile lookup completed,0.486627,True,True,True,9.6,False,False,0.075,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,96
48,2026-06-09T04:31:15.510881+00:00,order-service,Payment service call completed,0.482912,True,True,True,8.8,False,False,0.0409,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,88
49,2026-06-09T04:31:15.510881+00:00,user-profile-service,Profile lookup completed,0.79232,True,False,True,3.2,False,False,0.0,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,32
50,2026-06-09T04:31:15.510881+00:00,payment-service,User profile lookup completed,0.486264,True,True,True,8.9,False,False,0.0596,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,89
51,2026-06-09T04:31:25.510881+00:00,order-service,Payment service call completed,0.48023,True,True,True,9.8,False,False,0.0469,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,98
52,2026-06-09T04:31:25.510881+00:00,payment-service,User profile lookup completed,0.485441,True,True,True,10.4,False,False,0.0846,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,104
53,2026-06-09T04:31:25.510881+00:00,user-profile-service,Profile lookup completed,0.78896,True,False,True,4.6,False,False,0.0,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,46
54,2026-06-09T04:31:35.510881+00:00,order-service,Payment service call completed,0.480966,True,True,True,10.1,False,False,0.0564,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,101
55,2026-06-09T04:31:35.510881+00:00,payment-service,User profile lookup completed,0.483996,True,True,True,11.2,False,False,0.0929,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,112
56,2026-06-09T04:31:35.510881+00:00,user-profile-service,Profile lookup completed,0.78896,True,False,True,4.6,False,False,0.0,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,46
57,2026-06-09T04:31:45.510881+00:00,order-service,Payment service call completed,0.48408,True,True,True,8.7,False,False,0.0448,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,87
58,2026-06-09T04:31:45.510881+00:00,payment-service,User profile lookup completed,0.475651,True,True,True,12.0,False,False,0.0667,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,120
59,2026-06-09T04:31:45.510881+00:00,user-profile-service,Profile lookup completed,0.78608,True,False,True,5.8,False,False,0.0,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,58
60,2026-06-09T04:31:55.510881+00:00,payment-service,User profile lookup completed,0.477311,True,True,True,9.3,False,False,0.0226,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,93
61,2026-06-09T04:31:55.510881+00:00,user-profile-service,Profile lookup completed,0.7892,True,False,True,4.5,False,False,0.0,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,45
62,2026-06-09T04:31:55.510881+00:00,order-service,Payment service call completed,0.487452,True,True,True,8.8,False,False,0.0636,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,88
63,2026-06-09T04:32:05.510881+00:00,order-service,Payment service call completed,0.846476,True,False,True,8.5,False,False,0.3529,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,85
64,2026-06-09T04:32:05.510881+00:00,user-profile-service,Profile lookup completed,0.79088,True,False,True,3.8,False,False,0.0,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,38
65,2026-06-09T04:32:05.510881+00:00,payment-service,User profile lookup completed,0.482074,True,True,True,10.0,False,False,0.06,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,100
66,2026-06-09T04:32:15.510881+00:00,user-profile-service,Profile lookup completed,0.78896,True,False,True,4.6,False,False,0.0,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,46
67,2026-06-09T04:32:15.510881+00:00,payment-service,User profile lookup completed,0.480966,True,True,True,10.1,False,False,0.0564,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,101
68,2026-06-09T04:32:15.510881+00:00,order-service,Payment service call completed,0.487222,True,True,True,9.9,False,False,0.0838,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,99
69,2026-06-09T04:32:25.510881+00:00,payment-service,User profile lookup completed,0.468261,True,True,True,13.1,False,False,0.0511,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,131
70,2026-06-09T04:32:25.510881+00:00,order-service,Payment service call completed,0.848953,True,False,True,8.3,False,False,0.3614,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,83
71,2026-06-09T04:32:25.510881+00:00,user-profile-service,Profile lookup completed,0.79088,True,False,True,3.8,False,False,0.0,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,38
72,2026-06-09T04:32:35.510881+00:00,user-profile-service,Profile lookup completed,0.78848,True,False,True,4.8,False,False,0.0,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,48
73,2026-06-09T04:32:35.510881+00:00,order-service,Payment service call completed,0.487099,True,True,True,9.2,False,False,0.0696,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,92
74,2026-06-09T04:32:35.510881+00:00,payment-service,User profile lookup completed,0.480513,True,True,True,10.5,False,False,0.0619,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,105
75,2026-06-09T04:32:45.510881+00:00,user-profile-service,Profile lookup completed,0.78752,True,False,True,5.2,False,False,0.0,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,52
76,2026-06-09T04:32:45.510881+00:00,payment-service,User profile lookup completed,0.479445,True,True,True,10.6,False,False,0.0585,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,106
77,2026-06-09T04:32:45.510881+00:00,order-service,Payment service call completed,0.482074,True,True,True,10.0,False,False,0.06,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,100
78,2026-06-09T04:32:55.510881+00:00,order-service,Payment service call completed,0.487222,True,True,True,9.9,False,False,0.0838,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,99
79,2026-06-09T04:32:55.510881+00:00,payment-service,User profile lookup completed,0.854165,True,False,True,7.9,False,False,0.3797,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,79
80,2026-06-09T04:32:55.510881+00:00,user-profile-service,Profile lookup completed,0.78896,True,False,True,4.6,False,False,0.0,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,46
81,2026-06-09T04:33:05.510881+00:00,order-service,Payment service call completed,0.477292,True,True,True,11.5,False,False,0.0652,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,115
82,2026-06-09T04:33:05.510881+00:00,payment-service,User profile lookup completed,0.846476,True,False,True,8.5,False,False,0.3529,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,85
83,2026-06-09T04:33:05.510881+00:00,user-profile-service,Profile lookup completed,0.79232,True,False,True,3.2,False,False,0.0,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,32
84,2026-06-09T04:33:15.510881+00:00,order-service,Payment service call completed,0.488287,True,True,True,9.1,False,False,0.0736,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,91
85,2026-06-09T04:33:15.510881+00:00,user-profile-service,Profile lookup completed,0.78944,True,False,True,4.4,False,False,0.0,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,44
86,2026-06-09T04:33:15.510881+00:00,payment-service,Payment request received,0.475009,True,True,True,13.5,False,False,0.0926,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,135
87,2026-06-09T04:33:25.510881+00:00,payment-service,User profile lookup completed,0.474959,True,True,True,11.9,False,False,0.0613,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,119
88,2026-06-09T04:33:25.510881+00:00,order-service,Payment service call completed,0.490744,True,True,True,8.9,False,False,0.082,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,89
89,2026-06-09T04:33:25.510881+00:00,user-profile-service,Profile lookup completed,0.79232,True,False,True,3.2,False,False,0.0,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,32
90,2026-06-09T04:33:35.510881+00:00,user-profile-service,Profile lookup completed,0.78656,True,False,True,5.6,False,False,0.0,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,56
91,2026-06-09T04:33:35.510881+00:00,payment-service,User profile lookup completed,0.480513,True,True,True,10.5,False,False,0.0619,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,105
92,2026-06-09T04:33:35.510881+00:00,order-service,Payment service call completed,0.48184,True,True,True,11.4,False,False,0.086,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,114
93,2026-06-09T04:33:45.510881+00:00,user-profile-service,Profile lookup completed,0.7868,True,False,True,5.5,False,False,0.0,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,55
94,2026-06-09T04:33:45.510881+00:00,order-service,Payment service call completed,0.490744,True,True,True,8.9,False,False,0.082,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,89
95,2026-06-09T04:33:45.510881+00:00,payment-service,User profile lookup completed,0.479368,True,True,True,11.3,False,False,0.0717,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,113
96,2026-06-09T04:33:55.510881+00:00,order-service,Payment service call completed,0.483798,True,True,True,10.2,False,False,0.0725,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,102
97,2026-06-09T04:33:55.510881+00:00,payment-service,User profile lookup completed,0.489928,True,True,True,8.6,False,False,0.0721,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,86
98,2026-06-09T04:33:55.510881+00:00,user-profile-service,Profile lookup completed,0.79088,True,False,True,3.8,False,False,0.0,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,38
99,2026-06-09T04:34:05.510881+00:00,payment-service,User profile lookup completed,0.480416,True,True,True,11.2,False,False,0.075,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,112
100,2026-06-09T04:34:05.510881+00:00,user-profile-service,Profile lookup completed,0.78968,True,False,True,4.3,False,False,0.0,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,43
101,2026-06-09T04:34:05.510881+00:00,order-service,Payment service call completed,0.48269,True,True,True,10.3,False,False,0.0689,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,103
102,2026-06-09T04:34:15.510881+00:00,order-service,Payment service call completed,0.473413,True,True,True,13.2,False,False,0.0788,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,132
103,2026-06-09T04:34:15.510881+00:00,payment-service,User profile lookup completed,0.477963,True,True,True,12.1,False,False,0.0802,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,121
104,2026-06-09T04:34:15.510881+00:00,user-profile-service,Profile lookup completed,0.7904,True,False,True,4.0,False,False,0.0,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,40
105,2026-06-09T04:34:25.510881+00:00,user-profile-service,Profile lookup completed,0.78584,True,False,True,5.9,False,False,0.0,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,59
106,2026-06-09T04:34:25.510881+00:00,payment-service,User profile lookup completed,0.481484,True,True,True,11.1,False,False,0.0784,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,111
107,2026-06-09T04:34:25.510881+00:00,order-service,Payment service call completed,0.862244,True,False,True,6.2,False,False,0.3871,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,62
108,2026-06-09T04:34:35.510881+00:00,payment-service,User profile lookup completed,0.486627,True,True,True,9.6,False,False,0.075,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,96
109,2026-06-09T04:34:35.510881+00:00,user-profile-service,Profile lookup completed,0.79016,True,False,True,4.1,False,False,0.0,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,41
110,2026-06-09T04:34:35.510881+00:00,order-service,Payment service call completed,0.482074,True,True,True,10.0,False,False,0.06,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,100
111,2026-06-09T04:34:45.510881+00:00,user-profile-service,Profile lookup completed,0.78776,True,False,True,5.1,False,False,0.0,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,51
112,2026-06-09T04:34:45.510881+00:00,order-service,Payment service call completed,0.841776,True,False,True,8.5,False,False,0.3294,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,85
113,2026-06-09T04:34:45.510881+00:00,payment-service,User profile lookup completed,0.851359,True,False,True,6.5,False,False,0.3385,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,65
114,2026-06-09T04:34:55.510881+00:00,user-profile-service,Profile lookup completed,0.78133,True,False,True,7.1,False,False,0.0,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,71
115,2026-06-09T04:34:55.510881+00:00,payment-service,User profile lookup completed,0.468939,True,True,True,14.6,False,False,0.0836,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,146
116,2026-06-09T04:34:55.510881+00:00,order-service,Payment service call completed,0.854165,True,False,True,7.9,False,False,0.3797,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,79
117,2026-06-09T04:35:05.510881+00:00,order-service,Payment service call completed,0.855846,True,False,True,7.4,False,False,0.3784,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,74
118,2026-06-09T04:35:05.510881+00:00,user-profile-service,Profile lookup completed,0.78704,True,False,True,5.4,False,False,0.0,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,54
119,2026-06-09T04:35:05.510881+00:00,payment-service,User profile lookup completed,0.473002,True,True,True,12.6,False,False,0.0651,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,126
120,2026-06-09T04:35:15.510881+00:00,order-service,Payment service call completed,0.475828,True,True,True,11.3,False,False,0.054,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,113
121,2026-06-09T04:35:15.510881+00:00,payment-service,User profile lookup completed,0.476639,True,True,True,11.9,False,False,0.0697,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,119
122,2026-06-09T04:35:15.510881+00:00,user-profile-service,Profile lookup completed,0.78968,True,False,True,4.3,False,False,0.0,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,43
123,2026-06-09T04:35:25.510881+00:00,user-profile-service,Profile lookup completed,0.78872,True,False,True,4.7,False,False,0.0,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,47
124,2026-06-09T04:35:25.510881+00:00,order-service,Payment service call completed,0.49328,True,True,True,8.7,False,False,0.0908,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,87
125,2026-06-09T04:35:25.510881+00:00,payment-service,User profile lookup completed,0.472288,True,True,True,11.3,False,False,0.0363,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,113
126,2026-06-09T04:35:35.510881+00:00,order-service,Payment service call completed,0.848953,True,False,True,8.3,False,False,0.3614,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,83
127,2026-06-09T04:35:35.510881+00:00,user-profile-service,Profile lookup completed,0.788,True,False,True,5.0,False,False,0.0,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,50
128,2026-06-09T04:35:35.510881+00:00,payment-service,User profile lookup completed,0.854438,True,False,True,7.5,False,False,0.3733,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,75
129,2026-06-09T04:35:45.510881+00:00,payment-service,User profile lookup completed,0.478377,True,True,True,10.7,False,False,0.0551,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,107
130,2026-06-09T04:35:45.510881+00:00,user-profile-service,Profile lookup completed,0.79136,True,False,True,3.6,False,False,0.0,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,36
131,2026-06-09T04:35:45.510881+00:00,order-service,Payment service call completed,0.481601,True,True,True,10.4,False,False,0.0654,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,104
132,2026-06-09T04:35:55.510881+00:00,order-service,Payment service call completed,0.479445,True,True,True,10.6,False,False,0.0585,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,106
133,2026-06-09T04:35:55.510881+00:00,user-profile-service,Profile lookup completed,0.79088,True,False,True,3.8,False,False,0.0,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,38
134,2026-06-09T04:35:55.510881+00:00,payment-service,User profile lookup completed,0.4713,True,True,True,11.4,False,False,0.0333,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,114
135,2026-06-09T04:36:05.510881+00:00,order-service,Payment service call completed,0.482739,True,True,True,9.2,False,False,0.0478,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,92
136,2026-06-09T04:36:05.510881+00:00,payment-service,User profile lookup completed,0.479724,True,True,True,11.6,False,False,0.0793,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,116
137,2026-06-09T04:36:05.510881+00:00,user-profile-service,Profile lookup completed,0.78824,True,False,True,4.9,False,False,0.0,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,49
138,2026-06-09T04:36:15.510881+00:00,order-service,Payment service call completed,0.478074,True,True,True,10.0,False,False,0.04,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,100
139,2026-06-09T04:36:15.510881+00:00,user-profile-service,Profile lookup completed,0.78752,True,False,True,5.2,False,False,0.0,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,52
140,2026-06-09T04:36:15.510881+00:00,payment-service,User profile lookup completed,0.486627,True,True,True,9.6,False,False,0.075,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,96
141,2026-06-09T04:36:25.510881+00:00,order-service,Payment service call completed,0.48023,True,True,True,9.8,False,False,0.0469,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,98
142,2026-06-09T04:36:25.510881+00:00,payment-service,User profile lookup completed,0.487222,True,True,True,9.9,False,False,0.0838,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,99
143,2026-06-09T04:36:25.510881+00:00,user-profile-service,Profile lookup completed,0.78992,True,False,True,4.2,False,False,0.0,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,42
144,2026-06-09T04:36:35.510881+00:00,order-service,Payment service call completed,0.477667,True,True,True,11.8,False,False,0.0729,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,118
145,2026-06-09T04:36:35.510881+00:00,payment-service,User profile lookup completed,0.477963,True,True,True,12.1,False,False,0.0802,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,121
146,2026-06-09T04:36:35.510881+00:00,user-profile-service,Profile lookup completed,0.78752,True,False,True,5.2,False,False,0.0,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,52
147,2026-06-09T04:36:45.510881+00:00,payment-service,User profile lookup completed,0.477292,True,True,True,11.5,False,False,0.0652,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,115
148,2026-06-09T04:36:45.510881+00:00,user-profile-service,Profile lookup completed,0.79088,True,False,True,3.8,False,False,0.0,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,38
149,2026-06-09T04:36:45.510881+00:00,order-service,Payment service call completed,0.850792,True,False,True,6.1,False,False,0.3279,0,BENIGN,real_kubernetes_cluster_tetragon_ebpf,61
